X,Y,Z
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.06,1
0.04,-0.05,1
0.04,-0.05,1
0.04,-0.05,1
